id;name;description;created_by;created_date;last_modified_by;last_modified_date
1;Cambridgeshire Cameroon;indigo;Berkshire leading edge;2020-12-05T22:30:46;override;2020-12-06T05:35:20
2;quantifying hacking 3rd generation;Steel Ways;THX;2020-12-05T22:34:03;visualize Indonesia AI;2020-12-05T18:40:38
3;Cayman Islands;implement hierarchy;Key Pants;2020-12-05T20:22:04;mesh Kansas hardware;2020-12-06T13:23:10
4;payment;Kids Qatari Rial archive;cultivate bandwidth-monitored Proactive;2020-12-06T13:31:58;enable program;2020-12-05T19:20:16
5;Toys Borders;Canyon primary infrastructures;Unbranded Incredible Global;2020-12-06T09:56:51;generating solution engage;2020-12-06T07:36:55
6;transmitting SQL;Pizza Optional panel;Home Loan Account Practical Rubber Gloves AI;2020-12-06T06:52:28;Borders bypass array;2020-12-05T19:47:53
7;Credit Card Account Total fault-tolerant;EXE;interactive User-friendly olive;2020-12-05T20:52:03;PNG Group virtual;2020-12-06T10:19:52
8;copy;monitor;Movies;2020-12-06T02:15:36;digital Games;2020-12-06T15:10:00
9;RSS Hill systems;user-facing Berkshire;hard drive Persevering;2020-12-05T22:51:28;Director Connecticut index;2020-12-06T06:43:11
10;Health;cutting-edge Refined Cotton Computer;Licensed Pants;2020-12-06T11:38:16;Plastic Open-architected;2020-12-06T11:19:48
